point_id,point_lat,point_long
3977,20.5653,-100.973
3979,20.563,-100.9749
3978,20.5615,-100.9782
3390,20.545,-101.169
3954,20.4611,-101.2259
3957,20.4683,-101.2342
3956,20.4724,-101.2385
3473,20.608,-101.2634
8854,20.6342,-101.313
8852,20.6325,-101.3229
8855,20.6207,-101.3328
3429,20.5762,-101.3995
3966,20.572,-101.4015
7396,20.6127,-101.4008
3967,20.5616,-101.4087
3963,20.5828,-101.4288
3965,20.567,-101.4285
3961,20.5657,-101.4301
3409,20.5969,-101.4314
3408,20.5979,-101.4335
3962,20.5765,-101.435
3407,20.5974,-101.435
3405,20.6008,-101.4361
3406,20.599,-101.4379
3404,20.6024,-101.4385
3968,20.5148,-101.4595
3495,20.5164,-101.4647
3445,20.5199,-101.468
3976,20.5529,-101.4802
3433,20.5447,-101.484
3403,20.5366,-101.4841
3424,20.5519,-101.4852
7323,20.544,-101.4902
3423,20.5507,-101.492
3447,20.5317,-101.4921
3425,20.5386,-101.4941
3426,20.5379,-101.4942
3448,20.547,-101.4964
3436,20.5451,-101.4991
3418,20.5479,-101.502
3437,20.5475,-101.5034
7324,20.5095,-101.5008
3438,20.5475,-101.5055
3969,20.5218,-101.5301
3419,20.5368,-101.534
3422,20.5372,-101.5361
3498,20.5729,-101.5376
3421,20.5349,-101.5365
3420,20.5368,-101.5368
3499,20.5748,-101.5387
8504,20.4788,-101.5382
3413,20.5263,-101.5403
3964,20.5237,-101.5383
3497,20.5708,-101.5497
7392,20.5532,-101.5507
7395,20.5549,-101.5514
3427,20.5228,-101.5551
3428,20.5225,-101.5577
3411,20.5297,-101.5587
8496,20.4866,-101.5591
7393,20.5522,-101.5589
7394,20.5544,-101.5598
3412,20.526,-101.5626
7397,20.5107,-101.5638
3234,20.4224,-101.5737
3236,20.4204,-101.5739
3430,20.6904,-101.5777
3432,20.693,-101.5795
3500,20.6934,-101.5797
3955,20.482,-101.582
3474,20.5941,-101.58
3644,20.695,-101.5838
3233,20.4827,-101.5839
3643,20.6895,-101.5832
3431,20.6966,-101.5868
3645,20.6906,-101.5876
9801,20.5075,-101.0298
9802,20.5075,-101.0379
9804,20.5034,-101.0415
9803,20.5053,-101.0416
9639,20.4665,-101.0969
9647,20.4641,-101.1003
9638,20.4678,-101.1
9419,20.6488,-101.2008
9425,20.6485,-101.203
9421,20.6502,-101.2083
9420,20.6448,-101.2186
9417,20.6447,-101.2198
9424,20.6508,-101.2241
9422,20.6379,-101.227
9423,20.6388,-101.2288
9426,20.6385,-101.2296
9418,20.6348,-101.2327
11550,20.5984,-101.3247
9800,20.6374,-101.3253
9545,20.5449,-101.4399
9544,20.5371,-101.4402
9225,20.539,-101.4422
9538,20.4821,-101.4561
9537,20.4945,-101.4558
9541,20.4875,-101.4559
9636,20.6043,-101.4603
9539,20.5025,-101.4788
9546,20.5035,-101.4809
9540,20.4892,-101.4812
9547,20.5007,-101.4819
9223,20.4882,-101.4839
9542,20.5042,-101.4835
9228,20.4967,-101.4847
9535,20.502,-101.4852
9536,20.5051,-101.4863
9534,20.5062,-101.491
9662,20.4836,-101.5537
9663,20.485,-101.5595
3465,20.3432,-101.5931
3466,20.3437,-101.5956
3444,20.5144,-101.5982
3501,20.622,-101.6089
3502,20.6218,-101.6092
3231,20.4971,-101.6088
3228,20.4916,-101.6096
3230,20.493,-101.6118
3229,20.5076,-101.6126
3503,20.405,-101.618
3227,20.4748,-101.6172
3226,20.4647,-101.6185
3461,20.3747,-101.6174
3454,20.428,-101.6262
3449,20.4151,-101.6283
3450,20.4188,-101.6317
3451,20.4092,-101.6326
3647,20.4131,-101.6313
3240,20.3409,-101.6372
3970,20.4343,-101.6332
3238,20.3416,-101.6378
3237,20.3411,-101.638
3486,20.3686,-101.6444
3971,20.4255,-101.6444
3239,20.3495,-101.6445
3462,20.3524,-101.641
3482,20.3445,-101.65
3484,20.369,-101.6498
3960,20.2633,-101.6515
3507,20.3815,-101.6517
3298,20.3813,-101.6503
3492,20.2655,-101.654
3490,20.2651,-101.6557
3959,20.2635,-101.6585
3487,20.3556,-101.6673
3345,20.2652,-101.6696
3483,20.3582,-101.6721
3491,20.2597,-101.6737
3247,20.3555,-101.6722
3481,20.4145,-101.6752
3974,20.4146,-101.6752
3972,20.412,-101.6752
3480,20.4119,-101.6751
3391,20.3651,-101.681
3248,20.3845,-101.69
3488,20.3803,-101.6914
3250,20.3737,-101.6966
3489,20.3724,-101.6974
3485,20.3299,-101.6993
3244,20.417,-101.7097
3246,20.4194,-101.7101
3245,20.4204,-101.7118
3249,20.3721,-101.7213
3975,20.3085,-101.7227
3493,20.3086,-101.7238
3243,20.3124,-101.7241
3241,20.3101,-101.7302
3386,20.3148,-101.7333
3242,20.3233,-101.7548
3389,20.3212,-101.8291
3512,20.2963,-101.8299
3251,20.2963,-101.8304
3252,20.2983,-101.8345
3476,20.2983,-101.8355
3388,20.3132,-101.838
3508,20.304,-101.8516
3513,20.3015,-101.852
3464,20.2964,-101.8526
3387,20.3099,-101.8643
