field_id,name,latitude,longitude,year
6054,64887,20.3847,-102.0311,2019
6013,262388,20.4094,-101.6328,2019
5958,262386,20.9383,-101.9036,2019
6062,45548,20.6945,-101.8763,2019
5963,262376,20.9882,-101.8889,2019
6061,44002,20.6895,-101.8786,2019
6028,130589,20.2104,-101.1742,2019
5969,262377,20.9814,-101.8866,2019
6058,131373,20.7281,-101.887,2019
5970,193599,20.8601,-101.8621,2019
6009,59028,20.0401,-100.8174,2019
5973,262401,20.2823,-101.1623,2019
6029,130725,20.1755,-101.2814,2019
5975,64613,20.2748,-101.1626,2019
5977,64612,20.275,-101.1641,2019
5978,261998,20.6143,-101.4933,2019
5979,130028,20.2815,-101.1509,2019
6051,203580,20.7672,-101.8553,2019
5999,43203,20.0178,-100.7581,2019
5990,262055,20.3843,-101.0667,2019
6014,206593,20.4658,-101.6261,2019
5952,261984,20.4299,-101.1237,2019
5966,264056,20.5851,-101.0978,2019
6025,21341,20.0768,-101.1233,2019
5942,262416,20.3964,-101.3126,2019
5941,262406,20.516,-100.632,2019
6016,231627,20.4516,-101.6543,2019
6026,130727,20.1713,-101.287,2019
5947,262414,20.4808,-101.3354,2019
5940,64880,20.5158,-100.6353,2019
6019,223700,20.2174,-101.0822,2019
6018,266509,20.3188,-101.6392,2019
5976,64616,20.4293,-101.1308,2019
5943,266292,20.3916,-101.3196,2019
5971,264103,20.9717,-100.8078,2019
5944,64883,20.5178,-100.6321,2019
6057,259490,20.7305,-101.9028,2019
6030,266298,20.2038,-101.3011,2019
6003,306598,20.3559,-101.609,2019
5984,304605,20.6364,-101.4871,2019
5991,281753,20.4102,-101.0877,2019
6023,306601,20.651,-101.0134,2019
5953,265863,20.4312,-101.3773,2019
5954,282153,20.3717,-101.5293,2019
5955,265862,20.397,-101.3331,2019
6065,37920,20.698,-101.8868,2019
5950,282149,20.3628,-101.5253,2019
5946,131281,20.3308,-101.3354,2019
6027,65268,20.0864,-101.1292,2019
6017,264074,20.391,-101.6753,2019
5993,266519,20.3625,-101.5701,2019
6059,64878,20.7261,-101.8976,2019
5964,306547,20.932,-101.9068,2019
6024,307745,20.3848,-101.654,2020
6037,310473,20.6136,-101.6145,2020
6036,310483,20.6612,-101.6455,2020
6035,311153,20.2472,-101.9154,2020
6034,310451,20.5178,-101.2388,2020
6025,21341,20.0768,-101.1233,2020
6026,130727,20.1713,-101.287,2020
6033,310508,20.5844,-101.5358,2020
6032,309713,21.3343,-100.8185,2020
6031,309712,20.6309,-101.0072,2020
6029,130725,20.1755,-101.2814,2020
6030,266298,20.2038,-101.3011,2020
6027,65268,20.0864,-101.1292,2020
6023,306601,20.651,-101.0134,2020
6028,130589,20.2104,-101.1742,2020
6038,310507,20.5853,-101.5338,2020
5940,64880,20.5158,-100.6353,2020
6040,309725,20.921,-101.4114,2020
6062,45548,20.6945,-101.8763,2020
6063,306670,20.2761,-101.8828,2020
6064,313509,20.3773,-101.691,2020
6065,37920,20.698,-101.8868,2020
6066,313554,20.4218,-101.6564,2020
