point_id,point_lat,point_long,surveycprnlc
47081562,37.03131,14.31627,A22
47101562,37.03029,14.33854,A22
47181564,37.04428,14.42876,B54
47141562,37.02823,14.38308,A22
47141558,36.99195,14.38081,A22
47181560,37.00801,14.42647,B81
47161556,36.97277,14.40193,A22
47261550,36.91309,14.50968,B55
47361548,36.88956,14.61964,B12
47341548,36.89065,14.59742,A22
47321558,36.98242,14.5811,A21
47301558,36.9835,14.55885,F40
47221558,36.98777,14.46983,A22
47261560,37.00378,14.51551,F40
47261568,37.07632,14.52018,B82
47281562,37.02085,14.53894,B82
47341564,37.03574,14.60692,B81
47301582,37.2011,14.57304,B12
47301580,37.18297,14.57185,B12
47261576,37.14886,14.52487,E20
47261572,37.11259,14.52253,E20
47081572,37.122,14.32186,B12
47041578,37.17844,14.28059,F40
47181584,37.22563,14.44026,E10
47141584,37.22772,14.3956,E30
47221598,37.35043,14.4931,E30
47221592,37.29604,14.48959,E20
47221586,37.24165,14.48608,B41
47221588,37.25978,14.48725,F40
47261588,37.25765,14.53193,E10
47261590,37.27578,14.53311,B54
47281588,37.25657,14.55427,F40
47321590,37.27254,14.60014,B12
47281596,37.32909,14.55902,B12
47301598,37.34614,14.58257,B12
47241612,37.47625,14.52374,E20
47281612,37.4741,14.56856,A22
47321608,37.43568,14.61096,F40
47281616,37.51035,14.57095,A22
47321622,37.56255,14.61942,F40
47281626,37.60097,14.57695,B53
47241628,37.62124,14.53324,B54
47181630,37.64256,14.46704,F40
47201624,37.58713,14.48597,B54
47221618,37.5317,14.50487,B54
47241618,37.53063,14.52729,B12
47221616,37.51357,14.50369,B55
47161616,37.51675,14.43642,B12
47141618,37.53592,14.41515,B12
47101618,37.538,14.37029,F40
47141620,37.55404,14.41631,A22
47121628,37.62759,14.39849,A22
47081626,37.61153,14.35242,E20
47041626,37.61358,14.30751,F40
47021624,37.59647,14.28393,A22
47041622,37.57733,14.30525,E20
47061612,37.48567,14.32203,A22
47101614,37.50174,14.368,E20
47141614,37.49967,14.41284,B12
47161600,37.37173,14.42715,A22
47121602,37.39194,14.38353,A22
47021602,37.39706,14.27161,B12
46881600,37.38587,14.11381,B81
46961610,37.47259,14.20884,A22
46981622,37.58036,14.23791,A22
46861624,37.60442,14.1043,A22
46861616,37.5319,14.1,B12
46841616,37.53286,14.07756,B12
46821624,37.60635,14.05939,B54
46841628,37.64164,14.08399,B12
46801606,37.44412,14.02742,B12
46781604,37.42694,14.00397,A22
46861598,37.36871,14.09036,A22
46721600,37.39349,13.93471,B75
46761592,37.31907,13.97534,E20
46761582,37.22838,13.97017,B12
46861584,37.24175,14.0829,B54
46841588,37.27899,14.06268,B12
46801596,37.35345,14.02216,A22
46881596,37.3496,14.11166,A22
46921592,37.31138,14.15424,E20
46961588,37.27313,14.19678,A22
46941586,37.25599,14.17334,B75
46881582,37.22265,14.10417,B41
46981568,37.09077,14.20818,B43
46921574,37.14815,14.14453,B43
46921572,37.13001,14.14346,B12
46881574,37.1501,14.09991,A22
46821570,37.1167,14.03089,B53
46861572,37.13292,14.07654,A22
46741570,37.12047,13.94168,B12
46701572,37.14046,13.89809,B43
46641574,37.16135,13.83216,B12
46621574,37.16225,13.80984,A22
46501578,37.20385,13.67784,B81
46521582,37.23926,13.7021,B43
46621586,37.2711,13.81579,B12
46681582,37.23209,13.88082,B12
46701582,37.23117,13.90316,B82
46641590,37.30648,13.84014,E30
46681604,37.43161,13.89197,B75
46641602,37.4153,13.84615,B41
46621600,37.39807,13.82276,E20
46561600,37.40076,13.75558,B53
46561604,37.43704,13.75754,E20
46601608,37.47152,13.80434,B13
46641610,37.48785,13.85018,B12
46661612,37.50507,13.87362,A22
46601622,37.59846,13.81133,A22
46581626,37.63563,13.79087,B53
46561626,37.63652,13.7684,H11
46541616,37.54674,13.74101,B53
46481614,37.53124,13.67272,B81
46521622,37.60203,13.7215,B53
46481624,37.62191,13.67755,B53
46441618,37.56924,13.62975,B54
46421604,37.44313,13.6007,B53
46501604,37.43968,13.69033,B41
46501600,37.4034,13.6884,B81
46521598,37.38439,13.70982,B75
46441600,37.406,13.62121,B12
46381596,37.37226,13.55216,A22
46381602,37.42669,13.55495,E30
46321600,37.41104,13.48682,E20
46281596,37.3764,13.44023,B81
46381606,37.46297,13.55681,B13
46361618,37.57263,13.53996,E20
46261616,37.55862,13.4268,B12
46301614,37.53885,13.47078,E20
46281612,37.52153,13.44743,E20
46241610,37.50501,13.40167,B81
46141618,37.58153,13.29297,B81
46081616,37.5657,13.22475,B81
46081614,37.54756,13.2239,B81
46201598,37.39776,13.35154,B76
46241594,37.35987,13.39456,B75
46361590,37.31867,13.52702,B12
46341588,37.30136,13.50373,B81
45601620,37.61878,12.68721,B81
45641618,37.59935,12.73144,B81
45841618,37.59262,12.95608,B54
45941624,37.64348,13.07081,B82
45921620,37.60792,13.04673,B81
45941616,37.57092,13.06758,A22
45921610,37.51721,13.04273,E30
46021612,37.53168,13.15574,B81
46041610,37.51279,13.17735,B81
46041614,37.54908,13.17901,B81
46021638,37.7675,13.16655,A22
45921634,37.7349,13.05234,A22
45901632,37.71749,13.02904,E20
45901624,37.64492,13.02585,B81
45841630,37.70147,12.96075,B81
45801634,37.73915,12.91729,B81
45761632,37.72238,12.87151,A22
45841646,37.84658,12.967,B53
45801644,37.82984,12.92114,B82
45781648,37.86681,12.90013,B12
45821652,37.90169,12.9468,B82
45861650,37.88215,12.99113,B82
46001646,37.84079,13.14735,A22
46001644,37.82265,13.14652,F40
45901656,37.93513,13.03866,B82
45921660,37.97067,13.06285,A22
45861664,38.00909,12.99669,B82
45841664,38.0098,12.97409,A22
45841662,37.99167,12.9733,B81
45861662,37.99096,12.99589,B82
45801662,37.99307,12.92811,A22
45621666,38.03536,12.7262,B51
45701664,38.0146,12.81589,B81
45601670,38.07228,12.70503,B12
45521664,38.02039,12.61246,E30
45501664,38.02101,12.58985,F40
45481656,37.94907,12.56452,B12
45501646,37.85776,12.58368,B82
45441640,37.80515,12.51403,B82
45501640,37.80334,12.58164,E20
45521652,37.91156,12.6083,B81
45541652,37.91094,12.63087,A22
45601646,37.85463,12.69644,B82
45681646,37.85203,12.78663,E20
45701640,37.79695,12.80695,B82
45641642,37.81706,12.74009,B81
45661642,37.81641,12.76262,B82
45641646,37.85334,12.74153,B12
45601634,37.74579,12.69217,B12
45581630,37.71014,12.66825,B82
45581636,37.76456,12.67036,B82
45541638,37.78396,12.62601,B82
45461636,37.76826,12.53523,B83
45441634,37.75072,12.51204,B81
45461632,37.73198,12.53389,A22
45461626,37.67754,12.53189,B82
45421632,37.73317,12.48887,E30
46301668,38.02843,13.4956,A22
46361658,37.93529,13.55868,E20
46301660,37.95592,13.49189,A22
46181668,38.03331,13.35999,E20
46061666,38.01986,13.22351,E20
46061650,37.8748,13.21668,E30
46101648,37.85513,13.26092,B53
46181644,37.81573,13.34932,E20
46081642,37.8015,13.2358,B13
46101638,37.76446,13.25661,E20
46081634,37.72895,13.23239,A22
46081628,37.67454,13.22984,B81
46121630,37.69114,13.27567,E30
46101632,37.71005,13.25404,E20
46221636,37.7416,13.39081,A22
46361628,37.66331,13.54461,E30
46361634,37.71771,13.54741,A22
46361646,37.82651,13.55303,A21
46281646,37.82983,13.46289,E20
46241652,37.88586,13.42053,A22
46261654,37.90317,13.444,A22
46301652,37.8834,13.48819,B12
46441652,37.87749,13.64605,E20
46441654,37.89562,13.64702,E30
46481656,37.912,13.6931,B12
46461650,37.85849,13.66763,B81
46461642,37.78597,13.66376,E20
46421642,37.7877,13.61872,E30
46441644,37.80497,13.6422,A22
46421646,37.82396,13.62063,B74
46381648,37.84379,13.57651,B53
46401638,37.75229,13.5943,A22
46381636,37.735,13.57085,E20
46521632,37.69269,13.7264,B12
46541640,37.76433,13.75284,E20
46581642,37.78067,13.79886,E20
46561636,37.72718,13.77336,A22
46581634,37.70815,13.79486,A22
46621632,37.68822,13.83883,A22
46621628,37.65195,13.83681,A22
46641630,37.66917,13.8603,B12
46661634,37.70452,13.88482,G21
46661644,37.79516,13.88995,B12
46521652,37.87399,13.73625,A22
46581654,37.88944,13.80489,B81
46661662,37.95829,13.89922,B81
46641660,37.94108,13.87562,E20
46441660,37.95,13.64992,A22
46941666,37.98107,14.21744,E20
46981664,37.96094,14.26146,A22
46841660,37.93164,14.10128,E20
46761670,38.02609,14.01635,A22
46681664,37.97548,13.92284,E20
46721664,37.97361,13.968,B81
46801648,37.82483,14.04972,D10
46781644,37.78954,14.02506,B81
46721636,37.71986,13.95334,B12
46841636,37.71415,14.08829,B12
46781642,37.77141,14.024,B53
46841640,37.7504,14.09045,B12
46881642,37.76658,14.13655,E20
47001634,37.68811,14.26708,A22
46961638,37.72637,14.22435,B15
46941638,37.72737,14.20185,E10
46941644,37.78174,14.20518,E30
46981650,37.8341,14.25357,E20
46901646,37.80184,14.16125,E20
46881646,37.80283,14.13873,B53
46941658,37.90859,14.21297,E10
47101658,37.90044,14.39338,E20
47041642,37.75857,14.31659,E20
47021634,37.6871,14.28957,A22
47241636,37.69373,14.53801,A22
47241634,37.67561,14.53682,A22
47301636,37.69048,14.60545,A22
47281644,37.76404,14.5878,E20
47301646,37.78107,14.61152,A22
47201646,37.78646,14.49898,E30
47161648,37.8067,14.45513,B12
47201652,37.84082,14.50254,E20
47021662,37.94079,14.30546,A22
47021666,37.97703,14.30774,D20
48401752,38.67144,15.9317,B81
48421742,38.57966,15.94645,B54
48401746,38.61722,15.92689,B54
48421746,38.61581,15.94966,B53
48441736,38.52403,15.96438,A22
48501738,38.53783,16.03421,A22
48361716,38.34885,15.85768,A22
48401726,38.43646,15.91096,A22
48401714,38.32798,15.90145,B81
48521712,38.30141,16.03585,A22
48461710,38.2876,15.96627,B81
48441706,38.25285,15.94043,B81
48381702,38.22088,15.86936,F40
48361700,38.20418,15.84516,A22
48361714,38.33077,15.85611,B81
48261700,38.21104,15.732,A22
47921696,38.19717,15.34426,E20
47941680,38.05113,15.35547,A22
47961672,37.97747,15.37235,B81
48341676,37.98851,15.80397,A22
48361674,37.96904,15.82498,E30
48321684,38.06224,15.78755,B71
48261680,38.03015,15.71676,B81
48301670,37.93697,15.75427,B76
47801648,37.77022,15.17537,A22
47761654,37.82698,15.13444,A22
47681660,37.88612,15.04838,B74
47741660,37.88251,15.11598,A22
47841654,37.82207,15.2245,A22
47901668,37.94506,15.30185,E20
47861668,37.94756,15.25674,E30
47781688,38.13351,15.18027,A22
47741682,38.08166,15.13093,A22
47741688,38.13596,15.13503,A30
47661674,38.01406,15.03517,B74
47681678,38.04907,15.06044,B53
47641668,37.96093,15.00861,A22
47601670,37.9814,14.9648,E20
47561670,37.98374,14.91966,D10
47521678,38.05849,14.8797,B74
47501684,38.11396,14.86098,B74
47401682,38.10155,14.74664,E20
47401684,38.11966,14.7479,B81
47421684,38.11853,14.77052,E20
47341676,38.05057,14.67507,E10
47321652,37.83432,14.6377,E10
47381654,37.84912,14.70652,E20
47501656,37.86045,14.84296,E20
47601662,37.90897,14.95954,A22
47521650,37.80496,14.86163,E20
47501640,37.71554,14.83274,B74
47501642,37.73366,14.83401,A22
47581634,37.65658,14.91878,E20
47541636,37.67701,14.87514,A22
47481634,37.66234,14.80646,A22
47441646,37.7733,14.76906,A22
47381640,37.72231,14.69783,A22
47361644,37.75965,14.67781,A22
47341636,37.68829,14.6504,E10
47381624,37.57736,14.68796,A22
47421624,37.57513,14.73284,E20
47421622,37.55701,14.73159,E20
47401618,37.52189,14.70669,E20
47341622,37.56145,14.64186,B12
47341616,37.50708,14.63821,A22
47481602,37.37242,14.78635,A22
47481606,37.40866,14.78885,B76
47441610,37.44716,14.74656,B12
47481616,37.49927,14.79512,A22
47521616,37.49699,14.83995,A22
47541608,37.42336,14.85727,B43
47621608,37.41872,14.94682,B54
47601610,37.43801,14.92572,E20
47601616,37.49237,14.92959,A22
47621618,37.50932,14.9533,A21
47621624,37.56367,14.95719,A22
47521618,37.51511,14.84121,B13
47541624,37.56832,14.86746,A22
47521632,37.64193,14.85012,A22
47601628,37.60107,14.93735,A22
47621628,37.5999,14.9598,A22
47661624,37.56131,15.00206,A22
47741632,37.62899,15.09713,A22
47801634,37.64345,15.16584,A22
47661604,37.38013,14.98899,B13
47681600,37.34271,15.00874,A22
47721602,37.35845,15.05478,A22
47701592,37.26904,15.02586,A21
47721594,37.28597,15.04951,A22
47821594,37.27993,15.16122,A22
47841588,37.22435,15.17951,E20
47781574,37.10114,15.10327,A22
47681580,37.16148,14.99573,E30
47721576,37.12286,15.03772,A22
47581594,37.2942,14.8931,A22
47641592,37.27258,14.95885,E30
47601598,37.32928,14.91801,B12
47521594,37.29765,14.82606,E30
47441586,37.22966,14.73173,E20
47481594,37.29992,14.78136,E30
47481600,37.35429,14.7851,E30
47381560,36.99728,14.64905,B16
47361556,36.96211,14.62441,B12
47481558,36.97359,14.75909,A22
47461568,37.06538,14.74297,A22
47441570,37.08463,14.72192,E20
47501570,37.08125,14.78876,E20
47561566,37.04157,14.85309,B74
47641566,37.03694,14.94215,B12
47601566,37.03927,14.89762,E30
47661560,36.98139,14.96057,B12
47581562,37.00416,14.87283,A22
47521556,36.9532,14.80234,E10
47601556,36.94862,14.8913,A22
47661554,36.92699,14.95673,A22
47601550,36.89422,14.88751,E10
47621546,36.85679,14.90721,E20
47601546,36.85795,14.885,B54
47521542,36.82625,14.79369,A22
47501540,36.80925,14.77026,B54
47481542,36.82851,14.74929,A22
47461544,36.84776,14.7283,A22
47501546,36.86366,14.77395,E20
47501552,36.91806,14.77764,B12
47381552,36.92474,14.64425,A30
47361550,36.9077,14.62083,A22
47561536,36.76957,14.83436,F40
47561538,36.78771,14.8356,A30
47581540,36.8047,14.85904,E20
47641538,36.7831,14.92435,B74
47641536,36.76496,14.92308,B43
47681534,36.74449,14.96616,B12
47721536,36.76027,15.01179,B12
47741540,36.79535,15.03656,B82
47801534,36.73736,15.09918,A22
47821530,36.69988,15.11873,B54
47801528,36.68295,15.09526,E10
47721542,36.81467,15.01566,B74
47721550,36.8872,15.02082,B54
47761556,36.9392,15.06917,E20
47821552,36.89933,15.13322,F40
47801558,36.95492,15.11496,E10
47761558,36.95733,15.07048,E20
47681570,37.07085,14.98926,E30
47841570,37.06125,15.16743,A22
47861572,37.07815,15.19105,B81
47881566,37.02255,15.20928,B23
47861566,37.02378,15.18702,E20
47841558,36.9525,15.15943,A22
47861558,36.95127,15.18166,A22
47921564,37.00195,15.25243,B43
48561678,37.99115,16.05368,E20
48621684,38.04108,16.12622,A22
48581690,38.09822,16.08593,A22
48581700,38.18862,16.09404,A22
48621696,38.14956,16.13601,A22
48721716,38.32298,16.26575,A22
48581702,38.2067,16.09567,A22
48541718,38.35421,16.06337,A22
48521724,38.40988,16.04556,A22
48561726,38.42507,16.09258,A22
48521726,38.42795,16.04718,A22
48761746,38.59104,16.33656,E20
48661742,38.56235,16.21944,A22
48641734,38.49154,16.19002,B54
48621740,38.54722,16.17229,B81
48601736,38.51254,16.14623,D20
48601748,38.62096,16.15618,B81
48621748,38.6195,16.17895,B81
48541748,38.62532,16.08788,B81
48501758,38.71855,16.05052,A22
48821758,38.69489,16.4152,B54
48881758,38.6903,16.48355,B81
48861756,38.67377,16.45902,B82
49361830,39.30129,17.09936,A22
49361808,39.1029,17.07798,B54
49261804,39.07516,16.9596,D20
