Class,Overall Accuracy,IOU,F1-score
0,0.8238670199452821,0.6853157395973926,0.8132787506762484
1,0.7623341514601786,0.6020507058079921,0.7516000631257781
2,0.9060852096760693,0.7597024352586147,0.8634442051527479
3,0.9219613530357073,0.7859792160924918,0.8801661396845591
4,0.8212135247799908,0.6414616497829233,0.7815737271324664
5,0.9682368775235531,0.744104261481175,0.8532795635155972
6,0.403399433427762,0.2578775805867439,0.41002015548517134
7,0.7446882619296412,0.5798752373203147,0.7340772532188842
8,0.6797482837528604,0.41638631903560414,0.5879558612499381
9,0.9559063690800218,0.7488272921108742,0.8563764935381614
10,0.336046511627907,0.2483529074763678,0.39788893988067925
11,0.7119514472455649,0.46836609336609336,0.6379418531687933
12,0.4590818363273453,0.28076171875,0.4384292794510103
13,0.3201219512195122,0.257985257985258,0.41015625
14,0.3718374118622978,0.3176262178919398,0.48211884915299813
15,0.8873110398534128,0.6903064861012117,0.8167826270293064
16,0.2832194381169324,0.24275951838594206,0.39067818800733173
17,0.09734513274336283,0.07564724919093851,0.14065438134637082
18,0.19291907514450868,0.17259211376858435,0.29437706725468576
19,0.08990610328638497,0.07209637949425865,0.13449607866089194
