GT,raw_ENG,Overall Accuracy,MIoU
1,summer barley,92.13137817382812,0.8255614157600706
2,Winter barley,0.0,0.0
3,oats,90.2327880859375,0.7520696178584941
4,triticale,35.71703338623047,0.3207872928176795
5,mixed fodder cereals,64.4273910522461,0.4884388695783587
6,Feed wheat according to the list of varieties swiss granum,0.0,0.0
7,grain maize,0.0,0.0
8,"wild emmer, einkorn wheat",26.859058380126957,0.2349963151654971
9,summer wheat,2.1254537105560303,0.0193305044790193
10,Winter wheat (without forage wheat of the variety list swiss granum),9.265175819396973,0.0782198246797033
11,rye,91.8004379272461,0.7582686031643033
12,mixed cereals for bread production,42.312835693359375,0.3785885167464115
13,Spelt,,
14,maize for seed production (by contract),84.53058624267578,0.5430428977767459
15,Mads d'ensilage et mads vert,,
16,Sugar beets,84.29899597167969,0.5635522695621653
17,fodder beet,92.99925994873048,0.8181699431781072
18,potatoes,0.0,0.0
19,potatoes for planting (by contract),79.13420104980469,0.5747560116711943
20,summer rapeseed for oil production,11.764705657958984,0.1158594491927825
21,Winter rape for cooking oil,0.0,0.0
22,soy,93.35166931152344,0.8058021920837806
23,Sunflowers,74.37259674072266,0.6605922551252847
24,flax,88.26802062988281,0.7541394620005223
25,hemp,13.41632080078125,0.1015706806282722
26,Field beans for animal feed,0.0,0.0
27,protein peas for animal fodder,77.6913070678711,0.6392742796157951
28,lupine for fodder,80.1741714477539,0.5970746515799641
29,oil pumpkins,0.0,0.0
30,tobacco,0.0,0.0
31,millet,33.975242614746094,0.3351424694708276
32,Ensiled grain,0.0,0.0
33,false flax (camelina sativa),0.1468428820371627,0.0014641288433382
34,"Annual free-range vegetables, without canned vegetables",,
35,Ground-canned vegetables,65.44066619873047,0.4592279536621259
36,chicory roots,14.527702331542969,0.139186295503212
37,buckwheat,0.1533742398023605,0.0015274949083503
38,sorghum,18.840579986572266,0.097378277153558
39,"Annual berries (e.g., strawberries)",0.0,0.0
40,single-year regrowing ressources (Kenaf and others),5.2923078536987305,0.0523432744978697
41,Annual spice and medicinal plants,,
42,"Annual horticultural outdoor crops (flowers, turf etc.)",0.0,0.0
43,Conservation headlands,0.0,0.0
44,fallow,0.0,0.0
45,rotational set-aside,35.180908203125,0.3021154693697664
46,Hem on arable land,25.779037475585938,0.2113003095975232
47,Poppy,0.0,0.0
48,safflower,,
49,lentils,0.0,0.0
