relabel,Overall Accuracy,MIoU,Category,GT
1,89.3497543334961,82.23196486600278,Apples,[75]
2,60.90148162841797,50.37648773378673,Beets,[17]
3,0.0,0.0,Berries,"[39, 78]"
4,3.6687631607055664,3.4038414782397197,Biodiversity encouragement area,"[43, 51, 120]"
5,0.0,0.0,Buckwheat,[37]
6,0.0,0.0,Chestnut,[91]
7,,,Chicory,[36]
8,0.0,0.0,EinkornWheat,[8]
9,0.0,0.0,Fallow,"[44, 45]"
10,30.06944465637207,18.26811517772386,Field bean,[26]
11,40.773284912109375,37.52830799094144,Forest,[113]
12,0.0,0.0,Gardens,[121]
13,0.0,0.0,Grain,"[5, 12, 32]"
14,0.0,0.0,Hedge,"[108, 109, 110]"
15,0.0,0.0,Hemp,[25]
16,0.0,0.0,Hops,[81]
17,0.0,0.0,Legumes,[69]
18,0.0,0.0,Linen,"[24, 33]"
19,0.0,0.0,Lupine,[28]
20,0.0,0.0,Maize,"[7, 14, 15]"
21,87.39452362060547,68.13353997525984,Meadow,"[58, 59, 60, 61, 62, 66, 67, 71]"
22,86.16339111328125,65.58304337617388,MixedCrop,[50]
23,2.372166633605957,2.27158001009591,Multiple,"[111, 112, 114, 118]"
24,0.0,0.0,Mustard,[52]
25,,,Non agriculture,"[115, 117, 124]"
26,0.0,0.0,Oat,[3]
27,20.26659393310547,18.1265206812652,Pasture,"[63, 64, 65, 68, 123]"
28,10.43398666381836,9.24627060978801,Pears,[76]
29,1.5037593841552734,1.46699266503667,Peas,[27]
30,61.58389663696289,42.75516403402187,Potatoes,"[18, 19]"
31,64.6079330444336,51.05415831813153,Pumpkin,[29]
32,0.0,0.0,Rye,[11]
33,10.209747314453123,9.40875497441728,Sorghum,"[31, 38]"
34,0.0,0.0,Soy,[22]
35,78.87010955810547,66.87201408096554,Special cultures,"[99, 100, 102, 103, 104, 106]"
36,0.0,0.0,Spelt,[13]
37,79.91328430175781,42.98838537699924,StoneFruit,[77]
38,0.3961965143680572,0.37537537537536997,Sugar_beets,[16]
39,94.3743667602539,75.4091728697582,SummerBarley,[1]
40,0.0,0.0,SummerRapeseed,[20]
41,0.0,0.0,SummerWheat,[9]
42,0.0,0.0,Sunflowers,"[23, 54]"
43,84.4107437133789,69.3564862104188,Tobacco,[30]
44,0.0,0.0,TreeCrop,"[84, 85]"
45,0.0,0.0,Vegetables,"[34, 35, 98, 101]"
46,38.157596588134766,33.04491801527533,Vines,"[74, 88, 93, 95]"
47,51.94517517089844,41.83909565677265,Waters,[116]
48,0.0,0.0,Wheat,"[4, 6]"
49,23.963159561157227,19.820859688812963,WinterBarley,[2]
50,88.31478881835938,70.45468388354246,WinterRapeseed,"[21, 53]"
51,91.7876205444336,78.32930920949485,WinterWheat,[10]
0,,,Unlabeled,"[40, 41, 42, 46, 47, 48, 49, 55, 56, 57, 70, 72, 73, 79, 80, 82, 83, 86, 87, 89, 90, 92, 94, 96, 97, 105, 107, 119, 122, 0]"
