Class,Overall Accuracy,IOU,F1-score
0,0.8104084775704744,0.7130985187260092,0.8325248208799149
1,0.9010032246506628,0.8018558081693824,0.8900332696255396
2,0.8672587755486928,0.7611768904889744,0.8643957283332746
3,0.888499064631742,0.7683663520042705,0.8690126354569033
4,0.9391309232886716,0.862601426746991,0.9262329711123577
5,0.8569745924426879,0.7243203015866237,0.840122685930386
6,0.9184873086013771,0.8450381968081083,0.9160116015701064
7,0.7858404274587937,0.6096999718943227,0.7575324377707694
8,0.8283613445378152,0.7159111541487624,0.8344384875846501
9,0.851500496031746,0.7543531996704202,0.8599787087481996
